song_id,metric,amazement,solemnity,tenderness,nostalgia,calmness,power,joyful_activation,tension,sadness
song_32,diff_mean,0.3261,0.0000,0.0870,0.0652,0.0870,0.0218,0.4783,0.1087,0.3478
song_32,diff_std,0.2465,0.0042,0.1688,0.0743,0.1639,0.0041,0.1566,0.0388,0.2818
song_33,diff_mean,0.0384,0.0384,0.1154,0.1154,0.0385,0.1923,0.4615,0.0769,0.0769
song_33,diff_std,0.0413,0.0413,0.0674,0.0544,0.0333,0.0924,0.1746,0.1272,0.1272
song_34,diff_mean,0.2142,0.1429,0.5714,0.5715,0.5714,0.3572,0.2143,0.3572,0.2857
song_34,diff_std,0.1292,0.0431,0.4949,0.2216,0.1019,0.2374,0.4103,0.2374,0.1450
song_35,diff_mean,0.0769,0.3846,0.6923,0.4615,0.7693,0.3846,0.5385,0.2308,0.3077
song_35,diff_std,0.0230,0.5064,0.1720,0.0591,0.1090,0.2211,0.2091,0.4213,0.4804
song_36,diff_mean,0.2142,0.3571,0.0714,0.0714,0.2143,0.5714,0.7143,0.0714,0.2143
song_36,diff_std,0.1293,0.1500,0.0604,0.0603,0.1943,0.1019,0.1528,0.0415,0.4103
song_37,diff_mean,0.2143,0.0000,0.4286,0.6428,0.5714,0.0714,0.2857,0.4286,0.3571
song_37,diff_std,0.4103,0.0001,0.0688,0.0604,0.1019,0.2575,0.4518,0.2425,0.1501
song_38,diff_mean,0.1538,0.0770,0.0769,0.3847,0.2308,0.5385,0.6154,0.1538,0.3077
song_38,diff_std,0.0652,0.0605,0.0249,0.1377,0.1950,0.4985,0.1951,0.3608,0.4615
song_39,diff_mean,0.1071,0.0071,0.0571,0.0786,0.1857,0.2643,0.6286,0.1857,0.3786
song_39,diff_std,0.0831,0.0072,0.0501,0.0996,0.1518,0.0457,0.2008,0.1518,0.2770
song_4,diff_mean,0.1957,0.2174,0.0653,0.0870,0.0652,0.2392,0.1957,0.1740,0.0652
song_4,diff_std,0.0443,0.1195,0.1391,0.1689,0.1050,0.0108,0.0644,0.2553,0.2496
song_40,diff_mean,0.2540,0.0401,0.3036,0.4774,0.4580,0.6936,0.8840,0.0091,0.3976
song_40,diff_std,0.4353,0.0368,0.1642,0.2031,0.2994,0.1665,0.3202,0.0091,0.3216
song_5,diff_mean,0.1691,0.1081,0.0950,0.0232,0.0410,0.0814,0.1032,0.0279,0.1150
song_5,diff_std,0.1249,0.0665,0.2932,0.0391,0.1983,0.0018,0.0076,0.0095,0.3190
song_6,diff_mean,0.1176,0.2353,0.3529,0.2942,0.5882,0.2941,0.4706,0.2941,0.0588
song_6,diff_std,0.0744,0.1558,0.1179,0.1700,0.4922,0.2427,0.0314,0.4556,0.0868
song_7,diff_mean,0.0589,0.0588,0.2941,0.1177,0.2941,0.0588,0.1176,0.0588,0.2353
song_7,diff_std,0.0590,0.0314,0.0366,0.0212,0.1179,0.2353,0.3222,0.0869,0.0435
song_8,diff_mean,0.0555,0.1667,0.5000,0.0000,0.2223,0.0000,0.0556,0.1667,0.0000
song_8,diff_std,0.0430,0.0718,0.2678,0.0000,0.0255,0.0000,0.2291,0.3727,0.0000
song_9,diff_mean,0.0000,0.2941,0.1177,0.0588,0.1765,0.5883,0.1764,0.0588,0.0588
song_9,diff_std,0.0000,0.2426,0.1459,0.0314,0.1335,0.1334,0.0967,0.0868,0.2353
